Entity,Code,Year,Low-carbon energy (% equivalent primary energy)
Africa,,1965,5.419266
Africa,,1966,5.772398
Africa,,1967,5.9637628
Africa,,1968,6.60547
Africa,,1969,7.505726
Africa,,1970,8.64954
Africa,,1971,7.6892214
Africa,,1972,8.276323
Africa,,1973,8.068716
Africa,,1974,8.73629
Africa,,1975,8.713099
Africa,,1976,8.90637
Africa,,1977,9.280894
Africa,,1978,9.005293
Africa,,1979,8.839782
Africa,,1980,8.006187
Africa,,1981,7.4046946
Africa,,1982,6.9447308
Africa,,1983,6.0913973
Africa,,1984,6.3285294
Africa,,1985,6.8820524
Africa,,1986,7.4357424
Africa,,1987,6.6293283
Africa,,1988,7.1703744
Africa,,1989,7.5224705
Africa,,1990,7.1174593
Africa,,1991,7.5719132
Africa,,1992,7.188572
Africa,,1993,6.8391304
Africa,,1994,6.9453945
Africa,,1995,7.06749
Africa,,1996,7.2032895
Africa,,1997,7.293218
Africa,,1998,7.5710726
Africa,,1999,7.637549
Africa,,2000,7.948448
Africa,,2001,7.9203086
Africa,,2002,8.217694
Africa,,2003,7.7178135
Africa,,2004,7.48742
Africa,,2005,7.449009
Africa,,2006,7.4544873
Africa,,2007,7.429603
Africa,,2008,7.184574
Africa,,2009,7.2365074
Africa,,2010,7.5291967
Africa,,2011,7.5603237
Africa,,2012,7.263235
Africa,,2013,7.4438376
Africa,,2014,7.6951413
Africa,,2015,7.625005
Africa,,2016,7.6503634
Africa,,2017,7.8337455
Africa,,2018,8.12156
Africa,,2019,8.420368
Africa,,2020,9.273809
Africa,,2021,9.236069
Africa,,2022,9.339187
Africa,,2023,9.543484
Africa,,2024,9.665484
Africa (EI),,1965,5.419266
Africa (EI),,1966,5.772398
Africa (EI),,1967,5.9637628
Africa (EI),,1968,6.60547
Africa (EI),,1969,7.505726
Africa (EI),,1970,8.64954
Africa (EI),,1971,7.6892214
Africa (EI),,1972,8.276323
Africa (EI),,1973,8.068716
Africa (EI),,1974,8.73629
Africa (EI),,1975,8.713099
Africa (EI),,1976,8.90637
Africa (EI),,1977,9.280894
Africa (EI),,1978,9.005293
Africa (EI),,1979,8.839782
Africa (EI),,1980,8.006187
Africa (EI),,1981,7.4046946
Africa (EI),,1982,6.9447308
Africa (EI),,1983,6.0913973
Africa (EI),,1984,6.3285294
Africa (EI),,1985,6.8820524
Africa (EI),,1986,7.4357424
Africa (EI),,1987,6.6293283
Africa (EI),,1988,7.1703744
Africa (EI),,1989,7.5224705
Africa (EI),,1990,7.1174593
Africa (EI),,1991,7.5719132
Africa (EI),,1992,7.188572
Africa (EI),,1993,6.8391304
Africa (EI),,1994,6.9453945
Africa (EI),,1995,7.06749
Africa (EI),,1996,7.2032895
Africa (EI),,1997,7.293218
Africa (EI),,1998,7.5710726
Africa (EI),,1999,7.637549
Africa (EI),,2000,7.948448
Africa (EI),,2001,7.9203086
Africa (EI),,2002,8.217694
Africa (EI),,2003,7.7178135
Africa (EI),,2004,7.48742
Africa (EI),,2005,7.449009
Africa (EI),,2006,7.4544873
Africa (EI),,2007,7.429603
Africa (EI),,2008,7.184574
Africa (EI),,2009,7.2365074
Africa (EI),,2010,7.5291967
Africa (EI),,2011,7.5603237
Africa (EI),,2012,7.263235
Africa (EI),,2013,7.4438376
Africa (EI),,2014,7.6951413
Africa (EI),,2015,7.625005
Africa (EI),,2016,7.6503634
